wavelength,intensity
706.51,-2.0554e+12
706.82,-2.0554e+12
707.14,-2.0554e+12
707.46,-4.1667e+12
707.78,-6.097e+12
708.09,-6.097e+12
708.41,-7.9758e+12
708.73,-7.9758e+12
709.04,-9.9813e+12
709.36,-1.1874e+13
709.68,-1.1874e+13
709.99,-1.4105e+13
710.31,-1.0378e+13
710.62,-7.3846e+12
710.94,-7.3846e+12
711.26,-7.3846e+12
711.57,-3.2182e+12
711.89,-3.2182e+12
712.21,3.7173e+11
712.52,3.7173e+11
712.84,3.7173e+11
713.15,2.3978e+12
713.47,3.7173e+11
713.79,2.3978e+12
714.1,5.0877e+12
714.42,6.1799e+12
714.73,6.1799e+12
715.05,7.5054e+12
715.36,6.1799e+12
715.68,6.5247e+12
715.99,6.1799e+12
716.31,6.1799e+12
716.63,6.1799e+12
716.94,2.6691e+12
717.26,-8.0757e+11
717.57,-8.0757e+11
717.89,3.0139e+12
718.2,-8.0757e+11
718.52,-2.7474e+12
718.83,-2.7474e+12
719.15,8.9762e+11
719.46,8.9762e+11
719.78,5.3929e+12
720.09,8.3499e+12
720.41,8.3499e+12
720.72,5.3929e+12
721.04,7.3499e+11
721.35,7.3499e+11
721.67,1.8588e+12
721.98,1.0234e+12
722.29,-2.1779e+11
722.61,-2.1779e+11
722.92,-3.271e+11
723.24,-1.7036e+12
723.55,-1.7036e+12
723.87,-6.8907e+11
724.18,7.9673e+11
724.5,1.0234e+12
724.81,9.1404e+11
725.12,-6.8907e+11
725.44,1.6479e+12
725.75,-1.3014e+12
726.07,-3.409e+11
726.38,-8.5646e+11
726.69,-2.1916e+12
727.01,-1.7095e+12
727.32,-1.4676e+12
727.63,-1.5311e+13
727.95,-9.7873e+12
728.26,4.6682e+12
728.58,2.1087e+11
728.89,4.6633e+12
729.2,1.3505e+12
729.52,1.3505e+12
729.83,1.3505e+12
730.14,-2.0538e+12
730.46,-3.1934e+12
730.77,-2.0538e+12
731.08,-2.0538e+12
731.39,-3.1934e+12
731.71,-3.5433e+12
732.02,-3.5433e+12
732.33,-8.1065e+12
732.65,-3.5433e+12
732.96,-2.3064e+12
733.27,4.4962e+11
733.59,2.2216e+12
733.9,2.2216e+12
734.21,2.2216e+12
734.52,2.2216e+12
734.84,2.2216e+12
735.15,1.6955e+12
735.46,2.7397e+12
735.77,5.7965e+12
736.09,3.6959e+12
736.4,3.3414e+12
736.71,2.3852e+12
737.02,2.3852e+12
737.33,3.3414e+12
737.65,3.3414e+12
737.96,3.3414e+12
738.27,7.189e+12
738.58,3.3414e+12
738.89,3.3414e+12
739.21,1.9395e+12
739.52,3.2382e+11
739.83,3.2382e+11
740.14,-3.6526e+12
740.45,-7.76e+12
740.76,-7.76e+12
741.08,-7.76e+12
